Precinct,AGE 18-25,AGE 26-30,AGE 31-35,AGE 36-40,AGE 41-45,AGE 46-50,AGE 51-55,AGE 56-60,AGE 61-65,AGE 66-UP,BLACK,BLACK FEMALE,BLACK MALE,HISPANIC,HISPANIC FEMALE,HISPANIC MALE,OTHER,OTHER FEMALE,OTHER MALE,SEX UNSPECIFIED,WHITE,WHITE FEMALE,WHITE MALE,"('Votes cast', 'Attorney General')","('Votes cast', 'Board of County Commissioners, District 2')","('Votes cast', 'Board of County Commissioners, District 4')","('Votes cast', 'Circuit Judge, 20th Judicial Circuit, Group 8')","('Votes cast', 'Clerk of the Circuit Court and Comptroller')","('Votes cast', 'Commissioner of Agriculture')","('Votes cast', 'County Judge, Group 2')","('Votes cast', 'Governor and Lieutenant Governor')","('Votes cast', 'Immokalee Fire Referendum')","('Votes cast', 'Marco Island Referendum')","('Votes cast', 'North Collier Fire Referendum')","('Votes cast', 'Representative in Congress, District 19')","('Votes cast', 'School Board Member, District 3')","('Votes cast', 'School Board Member, District 5')","('Votes cast', 'State Attorney, 20th Judicial Circuit')","('Votes cast', 'State Representative, District 105')","('Votes cast', 'United States Senator')",NumBallotsCast,RegisteredVoters,Female,Male
101.0,245.0,125.0,121.0,114.0,138.0,169.0,261.0,354.0,427.0,1686.0,216.0,120.0,95.0,383.0,207.0,167.0,90.0,46.0,30.0,36.0,2952.0,1546.0,1394.0,920.0,,,893.0,928.0,916.0,910.0,967.0,,,,76.0,901.0,918.0,599.0,202.0,640.0,1083.0,3645.0,1919.0,1686.0
102.0,18.0,5.0,4.0,7.0,6.0,5.0,6.0,17.0,8.0,25.0,8.0,5.0,3.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,84.0,42.0,42.0,18.0,,,17.0,21.0,18.0,19.0,18.0,,,,,17.0,17.0,9.0,9.0,9.0,22.0,102.0,51.0,50.0
103.0,125.0,85.0,51.0,69.0,71.0,95.0,132.0,165.0,188.0,986.0,187.0,102.0,77.0,195.0,116.0,74.0,48.0,28.0,10.0,30.0,1539.0,792.0,740.0,395.0,,,425.0,434.0,391.0,421.0,421.0,,,,122.0,415.0,427.0,282.0,,298.0,494.0,1966.0,1038.0,901.0
135.0,183.0,171.0,173.0,154.0,154.0,241.0,280.0,374.0,474.0,2224.0,113.0,60.0,52.0,297.0,173.0,122.0,122.0,51.0,44.0,41.0,3898.0,2153.0,1734.0,1255.0,,,1264.0,1313.0,1215.0,1265.0,1319.0,,,,220.0,1285.0,1325.0,831.0,,886.0,1527.0,4431.0,2437.0,1952.0
139.0,125.0,75.0,85.0,89.0,74.0,92.0,160.0,214.0,287.0,1306.0,127.0,73.0,53.0,169.0,91.0,76.0,84.0,44.0,30.0,15.0,2129.0,1150.0,977.0,751.0,,,723.0,783.0,736.0,726.0,794.0,,,,67.0,736.0,758.0,505.0,,530.0,881.0,2515.0,1358.0,1136.0
141.0,163.0,107.0,100.0,95.0,89.0,145.0,220.0,300.0,368.0,1237.0,121.0,52.0,68.0,255.0,152.0,98.0,100.0,56.0,33.0,24.0,2350.0,1227.0,1116.0,734.0,,,708.0,747.0,710.0,716.0,781.0,,,,203.0,713.0,745.0,517.0,,577.0,890.0,2826.0,1487.0,1315.0
142.0,53.0,56.0,49.0,44.0,31.0,64.0,107.0,162.0,184.0,739.0,8.0,3.0,5.0,74.0,39.0,32.0,30.0,12.0,15.0,11.0,1377.0,704.0,668.0,379.0,,,372.0,392.0,366.0,365.0,396.0,,,,87.0,364.0,379.0,280.0,,314.0,459.0,1488.0,758.0,720.0
144.0,199.0,151.0,101.0,120.0,100.0,157.0,230.0,303.0,436.0,2208.0,112.0,68.0,43.0,198.0,120.0,76.0,101.0,52.0,42.0,21.0,3594.0,1859.0,1724.0,1037.0,,,1015.0,1086.0,982.0,1022.0,1087.0,,,,,1026.0,1057.0,750.0,103.0,800.0,1256.0,4012.0,2099.0,1885.0
155.0,228.0,222.0,168.0,136.0,146.0,186.0,301.0,512.0,769.0,3543.0,149.0,84.0,63.0,228.0,131.0,96.0,155.0,77.0,58.0,38.0,5679.0,2990.0,2674.0,1819.0,,,1686.0,1833.0,1714.0,1711.0,1920.0,,,,291.0,1742.0,1789.0,1320.0,315.0,1437.0,2157.0,6207.0,3282.0,2891.0
156.0,434.0,236.0,218.0,171.0,201.0,269.0,314.0,348.0,398.0,1634.0,536.0,281.0,249.0,941.0,516.0,408.0,156.0,66.0,62.0,58.0,2592.0,1485.0,1100.0,964.0,,,956.0,1027.0,943.0,958.0,1000.0,,,,335.0,985.0,1015.0,620.0,118.0,648.0,1175.0,4224.0,2348.0,1819.0
159.0,51.0,22.0,19.0,13.0,36.0,56.0,97.0,220.0,323.0,1149.0,8.0,4.0,4.0,31.0,17.0,13.0,31.0,17.0,12.0,3.0,1917.0,959.0,958.0,576.0,,,538.0,583.0,542.0,541.0,620.0,,,,125.0,554.0,575.0,449.0,,509.0,705.0,1982.0,997.0,987.0
189.0,8.0,8.0,8.0,8.0,11.0,13.0,22.0,41.0,50.0,96.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,260.0,128.0,132.0,67.0,,,62.0,63.0,67.0,61.0,72.0,,,,22.0,58.0,60.0,44.0,,47.0,76.0,264.0,130.0,135.0
190.0,83.0,48.0,54.0,50.0,49.0,102.0,192.0,331.0,422.0,2109.0,9.0,3.0,6.0,66.0,46.0,20.0,80.0,50.0,25.0,12.0,3285.0,1692.0,1586.0,1127.0,,,1097.0,1177.0,1086.0,1128.0,1235.0,,1467.0,,203.0,1133.0,1177.0,918.0,,1082.0,1532.0,3437.0,1791.0,1637.0
193.0,364.0,176.0,141.0,199.0,180.0,327.0,468.0,619.0,674.0,2443.0,15.0,9.0,6.0,229.0,119.0,106.0,127.0,61.0,58.0,33.0,5225.0,2668.0,2536.0,1888.0,,,1836.0,2016.0,1807.0,1829.0,2035.0,,2476.0,,352.0,1867.0,1949.0,1498.0,,1701.0,2554.0,5598.0,2857.0,2706.0
194.0,87.0,43.0,38.0,46.0,30.0,102.0,176.0,254.0,379.0,2459.0,11.0,6.0,5.0,64.0,38.0,26.0,56.0,23.0,30.0,12.0,3483.0,1818.0,1656.0,1278.0,,,1186.0,1284.0,1188.0,1216.0,1363.0,,1647.0,,211.0,1206.0,1269.0,1042.0,,1232.0,1719.0,3608.0,1885.0,1717.0
202.0,372.0,243.0,216.0,252.0,246.0,365.0,439.0,529.0,618.0,2529.0,61.0,33.0,27.0,305.0,172.0,128.0,181.0,91.0,75.0,36.0,5267.0,2835.0,2417.0,1674.0,1773.0,,1613.0,1750.0,1599.0,1634.0,1773.0,,,2002.0,490.0,1714.0,1730.0,1174.0,,1278.0,2108.0,5819.0,3131.0,2647.0
203.0,367.0,213.0,272.0,360.0,379.0,440.0,508.0,594.0,634.0,2412.0,52.0,23.0,29.0,259.0,154.0,100.0,238.0,123.0,98.0,41.0,5631.0,2950.0,2662.0,1871.0,2003.0,,1837.0,1985.0,1799.0,1851.0,2004.0,,,2297.0,468.0,1960.0,1991.0,1413.0,,1547.0,2404.0,6175.0,3250.0,2889.0
222.0,131.0,71.0,76.0,67.0,78.0,127.0,185.0,266.0,339.0,2635.0,20.0,7.0,13.0,46.0,28.0,17.0,97.0,47.0,39.0,18.0,3812.0,2064.0,1742.0,1466.0,1604.0,,1322.0,1480.0,1358.0,1330.0,1569.0,,,1870.0,349.0,1445.0,1443.0,1088.0,,1266.0,1957.0,3976.0,2146.0,1811.0
223.0,408.0,268.0,275.0,267.0,228.0,377.0,516.0,669.0,686.0,3041.0,49.0,22.0,27.0,335.0,182.0,151.0,263.0,125.0,115.0,44.0,6094.0,3233.0,2842.0,1791.0,2070.0,,1771.0,1939.0,1711.0,1796.0,1947.0,,,2270.0,590.0,1871.0,1903.0,1212.0,,1369.0,2370.0,6742.0,3562.0,3135.0
242.0,35.0,13.0,9.0,20.0,11.0,26.0,41.0,67.0,91.0,786.0,1.0,0.0,1.0,22.0,13.0,9.0,34.0,18.0,11.0,7.0,1042.0,563.0,477.0,393.0,419.0,,376.0,420.0,381.0,383.0,428.0,,,476.0,,416.0,408.0,288.0,,313.0,509.0,1098.0,594.0,498.0
251.0,567.0,365.0,312.0,395.0,415.0,543.0,605.0,606.0,560.0,2202.0,101.0,56.0,44.0,526.0,303.0,215.0,331.0,166.0,140.0,48.0,5618.0,3108.0,2496.0,1673.0,1845.0,,1688.0,1837.0,1612.0,1721.0,1782.0,,,2058.0,487.0,1802.0,1810.0,1178.0,,1276.0,2165.0,6577.0,3633.0,2895.0
252.0,54.0,34.0,22.0,27.0,35.0,74.0,129.0,178.0,271.0,1618.0,11.0,6.0,5.0,32.0,20.0,12.0,81.0,44.0,36.0,8.0,2319.0,1205.0,1107.0,786.0,817.0,,709.0,792.0,739.0,732.0,859.0,,,929.0,180.0,756.0,775.0,579.0,,694.0,1001.0,2440.0,1275.0,1160.0
255.0,92.0,40.0,44.0,32.0,47.0,69.0,164.0,280.0,465.0,4291.0,5.0,3.0,2.0,50.0,31.0,19.0,167.0,91.0,72.0,16.0,5303.0,2879.0,2412.0,2006.0,2187.0,,1852.0,2137.0,1851.0,1867.0,2193.0,,,2547.0,500.0,2027.0,2069.0,1491.0,,1808.0,2716.0,5528.0,3004.0,2505.0
257.0,292.0,153.0,120.0,146.0,192.0,216.0,280.0,350.0,353.0,1005.0,13.0,9.0,4.0,141.0,78.0,63.0,147.0,83.0,52.0,30.0,2808.0,1515.0,1275.0,966.0,1081.0,,948.0,1043.0,930.0,963.0,1044.0,,,1168.0,242.0,997.0,1020.0,751.0,,807.0,1222.0,3115.0,1685.0,1394.0
258.0,503.0,304.0,254.0,280.0,318.0,407.0,435.0,478.0,461.0,2091.0,162.0,83.0,75.0,474.0,274.0,197.0,189.0,98.0,68.0,49.0,4711.0,2604.0,2088.0,1438.0,1536.0,,1417.0,1567.0,1373.0,1437.0,1543.0,,,1756.0,426.0,1536.0,1534.0,1045.0,,1128.0,1864.0,5521.0,3059.0,2428.0
303.0,400.0,207.0,234.0,277.0,321.0,435.0,460.0,669.0,828.0,2547.0,116.0,61.0,55.0,311.0,174.0,129.0,300.0,147.0,145.0,31.0,5652.0,2840.0,2797.0,1660.0,,,1581.0,1708.0,1533.0,1570.0,1811.0,,,2015.0,,1614.0,1655.0,1290.0,,1486.0,2137.0,6387.0,3222.0,3126.0
310.0,474.0,227.0,226.0,259.0,331.0,443.0,508.0,455.0,487.0,2085.0,61.0,31.0,30.0,333.0,196.0,135.0,227.0,121.0,95.0,38.0,4880.0,2566.0,2289.0,1509.0,,,1493.0,1642.0,1464.0,1534.0,1621.0,,,1282.0,,1598.0,1615.0,1076.0,,1169.0,1907.0,5498.0,2914.0,2549.0
313.0,573.0,222.0,271.0,431.0,433.0,543.0,467.0,378.0,278.0,661.0,174.0,96.0,73.0,575.0,345.0,227.0,240.0,117.0,107.0,43.0,3273.0,1715.0,1539.0,887.0,,,920.0,937.0,854.0,906.0,933.0,,,,,963.0,959.0,628.0,,669.0,1089.0,4266.0,2273.0,1946.0
315.0,66.0,49.0,43.0,49.0,58.0,83.0,128.0,164.0,222.0,1584.0,11.0,6.0,5.0,76.0,46.0,28.0,80.0,49.0,27.0,14.0,2281.0,1248.0,1025.0,911.0,,,868.0,930.0,863.0,878.0,960.0,,,,,948.0,929.0,631.0,,671.0,1099.0,2447.0,1349.0,1085.0
317.0,133.0,66.0,52.0,56.0,53.0,72.0,156.0,243.0,316.0,1944.0,24.0,14.0,10.0,65.0,48.0,17.0,109.0,50.0,51.0,18.0,2894.0,1536.0,1348.0,1155.0,,,1107.0,1227.0,1095.0,1101.0,1228.0,,,1362.0,,1162.0,1186.0,892.0,,958.0,1450.0,3094.0,1648.0,1426.0
322.0,394.0,182.0,211.0,227.0,231.0,312.0,351.0,467.0,356.0,695.0,41.0,21.0,19.0,375.0,193.0,176.0,144.0,80.0,49.0,36.0,2870.0,1476.0,1380.0,876.0,,,845.0,916.0,859.0,851.0,929.0,,,,,877.0,893.0,704.0,,750.0,1033.0,3423.0,1770.0,1624.0
323.0,773.0,455.0,407.0,402.0,397.0,435.0,508.0,412.0,367.0,594.0,994.0,485.0,489.0,2045.0,1129.0,873.0,265.0,98.0,107.0,136.0,1452.0,775.0,664.0,552.0,,,593.0,578.0,558.0,589.0,575.0,,,,,579.0,609.0,291.0,266.0,297.0,678.0,4753.0,2487.0,2133.0
324.0,586.0,311.0,256.0,312.0,322.0,355.0,462.0,454.0,384.0,978.0,463.0,247.0,205.0,1253.0,698.0,531.0,211.0,99.0,73.0,91.0,2498.0,1318.0,1163.0,839.0,,,885.0,910.0,819.0,891.0,875.0,,,,,880.0,926.0,512.0,263.0,535.0,1026.0,4424.0,2362.0,1972.0
332.0,311.0,243.0,251.0,249.0,210.0,264.0,337.0,442.0,560.0,2726.0,228.0,136.0,89.0,715.0,412.0,294.0,176.0,92.0,62.0,46.0,4478.0,2374.0,2092.0,1438.0,,,1480.0,1568.0,1369.0,1469.0,1521.0,,,,,1497.0,1546.0,972.0,14.0,1065.0,1797.0,5602.0,3014.0,2537.0
414.0,183.0,146.0,142.0,143.0,141.0,174.0,230.0,237.0,225.0,889.0,56.0,27.0,28.0,224.0,124.0,97.0,83.0,47.0,32.0,15.0,2148.0,1198.0,943.0,617.0,,386.0,616.0,682.0,589.0,629.0,640.0,,,671.0,217.0,656.0,674.0,393.0,,429.0,790.0,2503.0,1396.0,1100.0
416.0,28.0,7.0,13.0,13.0,13.0,26.0,39.0,29.0,35.0,622.0,1.0,0.0,1.0,7.0,5.0,2.0,12.0,6.0,4.0,3.0,805.0,471.0,333.0,332.0,,307.0,292.0,331.0,323.0,305.0,362.0,,,108.0,38.0,328.0,329.0,293.0,,324.0,400.0,819.0,482.0,340.0
418.0,403.0,253.0,243.0,200.0,272.0,342.0,416.0,512.0,596.0,2657.0,94.0,47.0,47.0,397.0,228.0,163.0,236.0,121.0,98.0,40.0,5169.0,2790.0,2362.0,1650.0,,1153.0,1557.0,1733.0,1517.0,1572.0,1756.0,,,1713.0,455.0,1631.0,1700.0,1181.0,,1327.0,2062.0,5903.0,3186.0,2670.0
428.0,232.0,157.0,108.0,131.0,173.0,197.0,251.0,252.0,236.0,572.0,33.0,12.0,21.0,193.0,110.0,80.0,107.0,45.0,47.0,27.0,1977.0,1049.0,919.0,602.0,,419.0,580.0,632.0,571.0,588.0,633.0,,,,93.0,598.0,619.0,420.0,,448.0,732.0,2311.0,1216.0,1067.0
430.0,269.0,177.0,163.0,140.0,136.0,184.0,212.0,294.0,293.0,1326.0,143.0,72.0,70.0,402.0,238.0,158.0,105.0,46.0,43.0,29.0,2545.0,1333.0,1206.0,734.0,,491.0,740.0,809.0,718.0,767.0,763.0,,,,108.0,774.0,789.0,496.0,,527.0,917.0,3195.0,1689.0,1477.0
431.0,94.0,67.0,67.0,81.0,63.0,117.0,152.0,176.0,188.0,773.0,28.0,15.0,13.0,110.0,66.0,43.0,71.0,36.0,28.0,12.0,1570.0,865.0,701.0,560.0,,369.0,564.0,601.0,542.0,584.0,585.0,,,,,576.0,598.0,379.0,,400.0,678.0,1775.0,982.0,785.0
434.0,332.0,234.0,189.0,217.0,186.0,233.0,355.0,444.0,478.0,1541.0,267.0,129.0,133.0,587.0,310.0,262.0,160.0,75.0,55.0,63.0,3200.0,1708.0,1479.0,935.0,,625.0,932.0,989.0,923.0,966.0,992.0,,,,332.0,967.0,979.0,591.0,,653.0,1159.0,4213.0,2222.0,1929.0
438.0,62.0,43.0,44.0,37.0,53.0,62.0,110.0,146.0,212.0,1636.0,43.0,20.0,21.0,114.0,77.0,35.0,67.0,35.0,26.0,15.0,2181.0,1150.0,1026.0,653.0,,478.0,633.0,687.0,628.0,648.0,684.0,,,,,658.0,645.0,490.0,,523.0,798.0,2403.0,1282.0,1108.0
440.0,296.0,173.0,228.0,238.0,275.0,303.0,309.0,286.0,279.0,1191.0,70.0,34.0,33.0,304.0,175.0,125.0,171.0,90.0,63.0,37.0,3036.0,1656.0,1368.0,843.0,,583.0,818.0,873.0,789.0,826.0,907.0,,,886.0,,869.0,884.0,617.0,,673.0,1068.0,3577.0,1955.0,1589.0
450.0,2.0,6.0,7.0,11.0,4.0,12.0,12.0,10.0,16.0,59.0,1.0,1.0,0.0,7.0,6.0,1.0,17.0,11.0,6.0,1.0,114.0,54.0,59.0,23.0,,10.0,23.0,25.0,21.0,22.0,24.0,,,,9.0,20.0,22.0,11.0,,14.0,29.0,139.0,72.0,66.0
462.0,102.0,35.0,48.0,50.0,69.0,94.0,148.0,238.0,354.0,2152.0,2.0,0.0,2.0,40.0,22.0,18.0,96.0,48.0,45.0,14.0,3152.0,1688.0,1453.0,1031.0,,832.0,953.0,1061.0,948.0,972.0,1132.0,,,,206.0,1027.0,1040.0,817.0,,956.0,1319.0,3283.0,1758.0,1518.0
464.0,151.0,64.0,52.0,44.0,75.0,160.0,228.0,347.0,460.0,2261.0,4.0,2.0,2.0,50.0,32.0,17.0,98.0,37.0,57.0,18.0,3691.0,1957.0,1721.0,1232.0,,959.0,1158.0,1267.0,1149.0,1193.0,1322.0,,,,275.0,1231.0,1250.0,944.0,,1088.0,1547.0,3837.0,2028.0,1797.0
472.0,43.0,47.0,39.0,36.0,22.0,53.0,55.0,57.0,58.0,193.0,188.0,111.0,73.0,62.0,39.0,21.0,24.0,9.0,11.0,12.0,330.0,170.0,158.0,130.0,,67.0,116.0,124.0,122.0,121.0,142.0,,,,63.0,121.0,126.0,64.0,,82.0,163.0,605.0,329.0,263.0
475.0,75.0,30.0,38.0,34.0,48.0,87.0,115.0,126.0,142.0,436.0,2.0,1.0,1.0,23.0,14.0,9.0,19.0,9.0,7.0,8.0,1087.0,531.0,551.0,288.0,,253.0,261.0,302.0,281.0,264.0,309.0,,,,42.0,288.0,291.0,250.0,,272.0,350.0,1128.0,555.0,568.0
477.0,200.0,95.0,56.0,62.0,81.0,143.0,236.0,449.0,506.0,2002.0,3.0,0.0,3.0,48.0,27.0,21.0,94.0,59.0,23.0,27.0,3685.0,1919.0,1751.0,1109.0,,909.0,991.0,1186.0,1027.0,1055.0,1235.0,,,,237.0,1093.0,1122.0,873.0,,1062.0,1465.0,3830.0,2005.0,1798.0
479.0,118.0,73.0,74.0,81.0,62.0,134.0,174.0,182.0,182.0,983.0,12.0,7.0,4.0,122.0,79.0,40.0,59.0,24.0,27.0,20.0,1870.0,984.0,878.0,622.0,,460.0,608.0,670.0,596.0,629.0,664.0,,,,167.0,646.0,673.0,451.0,,508.0,772.0,2064.0,1094.0,949.0
502.0,35.0,20.0,30.0,26.0,28.0,40.0,34.0,77.0,74.0,255.0,1.0,1.0,0.0,18.0,11.0,7.0,14.0,9.0,4.0,1.0,586.0,285.0,301.0,143.0,,,134.0,150.0,137.0,129.0,147.0,,,,,130.0,135.0,105.0,4.0,110.0,171.0,621.0,306.0,312.0
550.0,178.0,115.0,118.0,104.0,107.0,149.0,147.0,189.0,150.0,378.0,38.0,18.0,20.0,312.0,168.0,140.0,70.0,34.0,25.0,21.0,1217.0,611.0,600.0,398.0,,,394.0,424.0,383.0,391.0,414.0,,,,,407.0,418.0,302.0,93.0,319.0,469.0,1640.0,831.0,785.0
551.0,537.0,271.0,340.0,340.0,341.0,514.0,555.0,561.0,606.0,1669.0,123.0,61.0,61.0,691.0,361.0,318.0,266.0,141.0,101.0,50.0,4657.0,2375.0,2269.0,1391.0,,,1368.0,1478.0,1348.0,1385.0,1451.0,,,,,1396.0,1453.0,1063.0,,1144.0,1686.0,5741.0,2938.0,2749.0
552.0,510.0,283.0,293.0,264.0,250.0,399.0,418.0,470.0,338.0,591.0,127.0,57.0,69.0,825.0,442.0,372.0,158.0,83.0,56.0,53.0,2709.0,1346.0,1341.0,762.0,,,781.0,815.0,753.0,797.0,790.0,,,,,810.0,841.0,596.0,,608.0,922.0,3815.0,1928.0,1838.0
554.0,556.0,298.0,321.0,289.0,288.0,372.0,411.0,373.0,256.0,535.0,202.0,102.0,98.0,1071.0,583.0,475.0,154.0,67.0,64.0,51.0,2278.0,1148.0,1117.0,608.0,,,649.0,648.0,605.0,650.0,634.0,,,,,655.0,672.0,420.0,181.0,437.0,737.0,3702.0,1900.0,1754.0
590.0,761.0,358.0,413.0,456.0,505.0,611.0,694.0,624.0,565.0,1427.0,307.0,163.0,142.0,1088.0,595.0,476.0,296.0,141.0,118.0,76.0,4732.0,2405.0,2307.0,1531.0,,,1596.0,1637.0,1479.0,1626.0,1601.0,,,1842.0,,1625.0,1692.0,1140.0,,1223.0,1936.0,6421.0,3304.0,3043.0
591.0,730.0,383.0,437.0,428.0,436.0,531.0,529.0,434.0,324.0,666.0,301.0,161.0,135.0,1700.0,895.0,781.0,215.0,102.0,82.0,78.0,2688.0,1386.0,1284.0,864.0,,,939.0,953.0,844.0,940.0,898.0,,,1026.0,,926.0,979.0,591.0,,623.0,1085.0,4909.0,2544.0,2282.0
593.0,298.0,140.0,179.0,186.0,177.0,194.0,213.0,221.0,264.0,737.0,138.0,73.0,65.0,414.0,231.0,177.0,119.0,59.0,49.0,22.0,1938.0,979.0,954.0,892.0,,,899.0,925.0,862.0,904.0,926.0,1060.0,,0.0,,888.0,916.0,685.0,,756.0,1084.0,2623.0,1342.0,1245.0
594.0,1145.0,492.0,330.0,312.0,286.0,304.0,325.0,351.0,355.0,791.0,1240.0,706.0,514.0,2660.0,1535.0,1065.0,264.0,100.0,74.0,173.0,539.0,311.0,225.0,613.0,,,665.0,645.0,615.0,677.0,658.0,778.0,,0.0,,675.0,685.0,205.0,,219.0,801.0,4701.0,2652.0,1878.0
